STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT05,WT05_ATTRIBUTES
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/1/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",56,",,0",23,",,0",25,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/2/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",43,",,0",23,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/3/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",36,",,0",24,",,0",30,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/4/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/5/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",49,",,0",21,",,0",49,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/6/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",56,",,0",28,",,0",35,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/7/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",63,",,0",33,",,0",46,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/8/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",54,",,0",44,",,0",47,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/9/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",54,",,0",43,",,0",43,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/10/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",67,",,0",27,",,0",29,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/11/06,,,1.06,",,0,0730",0,"P,,0,",0,"P,,0,",49,",,0",27,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/12/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/13/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/14/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/15/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/16/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/17/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/18/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/19/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/20/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/21/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",44,",,0",23,",,0",31,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/22/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",44,",,0",22,",,0",24,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/23/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",52,",,0",22,",,0",28,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/24/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",57,",,0",23,",,0",43,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/25/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",56,",,0",28,",,0",53,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/26/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",57,",,0",43,",,0",52,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/27/06,,,0.1,",,0,0730",0,"P,,0,",0,"P,,0,",57,",,0",46,",,0",48,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/28/06,,,0.19,",,0,0730",0,"P,,0,",0,"P,,0,",55,",,0",44,",,0",45,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/29/06,,,0.2,",,0,0730",0,"P,,0,",0,"P,,0,",60,",,0",44,",,0",57,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/30/06,,,1,",,0,0730",0,"P,,0,",0,"P,,0,",62,",,0",35,",,0",37,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/1/06,,,0.25,",,0,0730",0.8,",,0,",0,"P,,0,",38,",,0",25,",,0",30,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/2/06,,,0.8,",,0,0730",3.5,",,0,",4,",,0,",33,",,0",23,",,0",32,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/3/06,,,0,",,0,0730",0,"P,,0,",3,",,0,",37,",,0",20,",,0",25,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/4/06,,,0,",,0,0730",0,"P,,0,",3,",,0,",25,",,0",14,",,0",21,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/5/06,,,0,"T,,0,0730",0,"T,,0,",3,",,0,",24,",,0",10,",,0",13,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/6/06,,,0,",,0,0730",0,"P,,0,",3,",,0,",35,",,0",11,",,0",35,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/7/06,,,0.1,",,0,0730",1,",,0,",4,",,0,",36,",,0",15,",,0",17,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/8/06,,,0,",,0,0730",0,"P,,0,",4,",,0,",25,",,0",15,",,0",17,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/9/06,,,0,",,0,0730",0,"P,,0,",4,",,0,",36,",,0",12,",,0",35,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/10/06,,,0,",,0,0730",0,"P,,0,",3,",,0,",39,",,0",31,",,0",39,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/11/06,,,0,",,0,0730",0,"P,,0,",1,",,0,",45,",,0",36,",,0",38,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/12/06,,,0.4,",,0,0730",0,"P,,0,",0,",,0,",41,",,0",36,",,0",37,",I,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/13/06,,,0.86,",,0,0730",0,"P,,0,",0,"P,,0,",49,",,0",39,",I,0",40,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/14/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",40,",,0",28,",,0",34,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/15/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",48,",,0",33,",,0",43,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/16/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",45,",,0",29,",,0",33,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/17/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",48,",,0",32,",,0",40,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/18/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",50,",,0",27,",,0",27,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/19/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",38,",,0",20,",,0",22,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/20/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",47,",,0",21,",,0",42,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/21/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",43,",,0",26,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/22/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",42,",,0",34,",,0",39,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/23/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",52,",,0",37,",,0",39,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/24/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",40,",,0",32,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/25/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",46,",,0",28,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/26/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",38,",,0",34,",,0",35,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/27/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",37,",,0",24,",,0",26,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/28/06,,,0,"T,,0,0730",0,"T,,0,",0,",,0,",38,",,0",24,",,0",33,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/29/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",39,",,0",32,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/30/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",38,",,0",35,",,0",37,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,12/31/06,,,0.18,",,0,0730",0,"P,,0,",0,"P,,0,",44,",,0",35,",,0",36,",,0,0730",,