DATE,Closure Type
4/3/75,closed
1/26/78,closed
1/27/78,closed
3/4/85,closed
12/4/90,closed
12/1/06,closed
2/16/06,closed
1/22/08,closed
1/30/08,closed
2/6/08,closed
2/2/11,closed
2/21/11,delayed
3/23/11,closed
2/8/13,closed
1/28/14,closed
2/21/14,early dismissal
1/12/17,delayed
1/28/19,early dismissal
1/30/19,closed
1/31/19,closed
2/7/19,closed
2/5/21,delayed
3/7/22,delayed
3/30/22,delayed
2/22/23,early dismissal
2/23/23,closed
2/27/23,early dismissal
2/28/23,delayed
1/12/24,closed